code|secteur_activité|departement|ville|nom_etablissement|code_naf|code_entreprise|code_etablissement|nom_etablissement|longitude|latitude|NIV1|effectif
9|2|50|AGNEAUX|APE2I|3320C|493913347|00024|APE2I|-1.1|49.1167|C|1
475|13|50|AVRANCHES|DIAG JFL|7120B|501561005|00023|DIAG JFL|-1.36667|48.6833|M|2
549|2|14|BAYEUX|FACTEM|3320D|498660448|00024|FACTEM|-0.7|49.2667|C|1
748|3|14|CAEN|APROMO|7112B|419272026|00024|APROMO|-0.35|49.1833|M|3
237|6|60|CHANTILLY|UGIPS GESTION|6622Z|428216444|00029|UGIPS GESTION|2.46667|49.2|K|1
471|2|76|CLEON|RENAULT SAS|2910Z|780129987|00902|RENAULT SAS|1.03333|49.3167|C|1
270|4|21|DIJON|JULIE K|4777Z|492475066|00030|JULIE K|5.01667|47.3167|G|1
193|2|76|ELBEUF|ANDRITZ ASSELIN THIBEAU|3320C|885781930|00056|ANDRITZ ASSELIN THIBEAU|1|49.2833|C|1
116|2|14|FALAISE|TARTEFRAIS|1071A|379248701|00029|TARTEFRAIS|-0.2|48.9|C|2
3|7|50|GRANVILLE|ASPROD|7112B|441817038|00025|ASPROD|-1.6|48.8333|M|1
247|4|14|HONFLEUR|QUANTAFLOW|2630Z|450105200|00031|QUANTAFLOW|0.233333|49.4167|C|1
380||14|IFS|SARI CONCEPT|3320C|753675313|00021|SARI CONCEPT|-0.35|49.1333|C|1
349|2|01|IZERNORE|GARBE AUTOMATISME|2562B|412399669|00024|GARBE AUTOMATISME|5.55|46.2167|C|1
472|4|72|LE MANS|STEF|9602A|812346419|00011|STEF|0.2|48|S|1
192|11|14|LISIEUX|CENTRE HOSPITALIER ROBERT BISSON|8610Z|261400915|00144|CENTRE HOSPITALIER ROBERT BISSON|0.233333|49.15|Q|1
336|4|14|MONDEVILLE|DELICECOOK|5610C|509990461|00063|DELICECOOK|-0.316667|49.1667|I|1
679|11|14|MOUEN|DOMICILIS|9609Z|489157289|00021|DOMICILIS|-0.483333|49.15|S|1
226||44|NANTES|KNPLABS|6201Z|511973067|00032|KNPLABS|-1.55|47.2167|J|1
362|11|76|YVETOT|ATOUT DOM|9609Z|533555140|00011|ATOUT DOM|0.766667|49.6167|S|1
